provided_interaction_type_label,provided_interaction_type_id,mapped_to_interaction_type_label,mapped_to_interaction_type_id
Primary host,gid://taxon-works/BiologicalRelationship/14,hasHost,http://purl.obolibrary.org/obo/RO_0002454
feeds on / is host for,gid://taxon-works/BiologicalRelationship/1,eats,http://purl.obolibrary.org/obo/RO_0002470
Plant associate,gid://taxon-works/BiologicalRelationship/9,interactsWith,http://purl.obolibrary.org/obo/RO_0002437
Parasitoid host,gid://taxon-works/BiologicalRelationship/12,parasitoidOf,http://purl.obolibrary.org/obo/RO_0002208
Associate,gid://taxon-works/BiologicalRelationship/10,interactsWith,http://purl.obolibrary.org/obo/RO_0002437
is parasitized by / is parasitoid of,gid://taxon-works/BiologicalRelationship/2,parasitoidOf,http://purl.obolibrary.org/obo/RO_0002208
Plant host,gid://taxon-works/BiologicalRelationship/13,hasHost,http://purl.obolibrary.org/obo/RO_0002454
Larvae feed on [3],gid://taxon-works/BiologicalRelationship/33,eats,http://purl.obolibrary.org/obo/RO_0002470
Parasitoid,gid://taxon-works/BiologicalRelationship/11,parasitoidOf,http://purl.obolibrary.org/obo/RO_0002209
Adults collected on [1],gid://taxon-works/BiologicalRelationship/31,interactsWith,http://purl.obolibrary.org/obo/RO_0002437
Larvae likely feed on [2],gid://taxon-works/BiologicalRelationship/32,eats,http://purl.obolibrary.org/obo/RO_0002470
is predated by / is predetor of,gid://taxon-works/BiologicalRelationship/7,preyedUponBy,http://purl.obolibrary.org/obo/RO_0002458
is infected with / is pathogen of,gid://taxon-works/BiologicalRelationship/6,hasPathogen,http://purl.obolibrary.org/obo/RO_0002557
is mutualistically associated with / is endosymbiont of,gid://taxon-works/BiologicalRelationship/4,mutualisticallyInteractsWith,http://purl.obolibrary.org/obo/RO_0002442
galler of / galled by,gid://taxon-works/BiologicalRelationship/35,interactsWith,http://purl.obolibrary.org/obo/RO_0002437
gall,gid://taxonworks/BiologicalRelationship/69,interactsWith,http://purl.obolibrary.org/obo/RO_0002437
inquiline,gid://taxonworks/BiologicalRelationship/70,interactsWith,http://purl.obolibrary.org/obo/RO_0002437
Parasitoid (larva-pupa) of,gid://taxonworks/BiologicalRelationship/54,parasitoidOf,http://purl.obolibrary.org/obo/RO_0002209
adult feeds on / eaten by,gid://taxonworks/BiologicalRelationship/62,eats,http://purl.obolibrary.org/obo/RO_0002470
